Transaction_ID,Order_Date,Delivery_Date,Company_Name,Industry,Country,Region,Customer_Segment,Sales_Rep,Channel,Product_Name,Unit_Price,Quantity,Discount_Pct,Revenue,COGS,Gross_Profit,Tax_Rate,Tax_Amount,Net_Profit,Revenue_Target,Payment_Method,Transaction_Status,Priority,Units_Returned,Customer_Satisfaction,Rating,Repeat_Customer,Contract_Length_Months,Notes
TXN-101839,2021-05-19,2021-06-27,Orion Inc,Manufacturing,United Kingdom,Asia Pacific,Startup,Carlos Rivera,Social Media,Cloud Subscription,5913.05,167,0.29,701110.34,322062.35,379047.99,0.09,63099.93,315948.06,240235.13,Credit Card,Pending,Critical,13,Very Satisfied,3.8,Yes,1,First purchase
TXN-102638,2021-10-20,2021-11-02,Orion Inc,Technology,Canada,Middle East,Mid-Market,Carlos Rivera,Partner,Custom Development,13281.67,173,0.23,1769251.26,765766.21,1003485.05,0.05,88462.56,915022.49,387997.87,Cash,Completed,Low,12,Neutral,2.1,Yes,24,Urgent delivery
TXN-103388,2025-01-17,2025-01-24,Nexus Co,Technology,Canada,Europe,Enterprise,Sofia Andrade,Trade Show,Software License,14186.92,251,0.01,3525307.75,1259075.71,2266232.04,0.23,810820.78,1455411.26,250729.67,Bank Transfer,Completed,Critical,30,Satisfied,2.9,No,15,Bulk order
TXN-104643,2024-08-27,2024-10-16,AlphaVentures,Consulting,Brazil,Europe,Mid-Market,Maria Santos,Direct Sales,Support Contract,5222.16,8,0.37,26319.69,16235.09,10084.6,0.27,7106.32,2978.28,148485.04,Cash,Pending,Medium,0,Satisfied,3.4,No,11,Urgent delivery
TXN-100228,2021-06-08,2021-07-30,Vertex Partners,Retail,,Africa,Mid-Market,Maria Santos,Trade Show,Custom Development,4539.52,293,0.16,-1117266.66,749974.89,367291.77,0.23,256971.33,110320.44,363172.36,Check,Completed,High,30,Neutral,3.0,No,12,Renewal
TXN-102063,2022-10-13,2022-10-29,Vertex Partners,Finance,Singapore,Europe,Enterprise,Aisha Bello,Trade Show,Training Package,275.63,437,0.14,103587.27,43106.0,60481.27,0.06,6215.24,54266.03,23783.11,Invoice Net 60,cancelled,,34,Dissatisfied,4.8,Yes,14,None
TXN-101864,2024-12-02,2024-12-21,AlphaVentures,Finance,United Kingdom,North America,Startup,Kenji Tanaka,Partner,Support Contract,9900.23,483,0.17,3968903.2,1770776.53,2198126.67,0.24,952536.77,1245589.9,77198.4,Credit Card,Pending,Low,29,Very Satisfied,3.6,No,4,Follow-up required
TXN-100065,2020-06-07,2020-06-26,NovaBiz,Finance,Philippines,Africa,Government,Chen Wei,Trade Show,Analytics Suite,12674.2,52,0.2,-527246.72,284143.68,243103.04,0.23,121266.75,121836.29,265633.16,Credit Card,Refunded,Low,5,Satisfied,3.4,No,9,Follow-up required
TXN-103956,2022-04-10,2022-05-12,Zenith Ltd,Retail,Singapore,North America,Startup,Priya Nair,Direct Sales,Consulting Service,3782.13,470,0.23,1368752.85,619019.04,749733.81,0.28,383250.8,366483.01,226608.34,PayPal,Processing,Medium,22,Dissatisfied,1.9,No,20,None
TXN-101526,2020-11-11,2020-12-03,Acme Corp,E-Commerce,Australia,North America,SMB,Chen Wei,Referral,Consulting Service,5492.0,114,0.14,538435.68,194081.98,344353.7,0.09,48459.21,295894.49,227949.56,Invoice Net 30,Refunded,Critical,14,Neutral,3.5,Yes,17,Urgent delivery
TXN-100033,2022-02-18,2022-03-19,PrimeSolutions,Healthcare,Australia,Africa,Enterprise,Chen Wei,Online,Consulting Service,13632.14,153,0.34,1376573.5,958798.5,417775.0,0.13,178954.55,238820.45,312408.52,Cash,Completed,Medium,19,Very Satisfied,4.8,No,7,Escalated
TXN-104160,05/08/2023,2023-05-23,  Acme Corp  ,Consulting,Canada,Middle East,Government,James Teller,Referral,Maintenance Plan,2217.29,236,0.1,470952.4,219311.94,251640.46,0.09,42385.72,209254.74,345781.12,Credit Card,Completed,Critical,33,Very Satisfied,2.7,Yes,9,VIP client
TXN-103225,2022-06-03,2022-07-19,GlobalTech,Technology,United Kingdom,Middle East,Mid-Market,Aisha Bello,Partner,Software License,4944.19,39,0.17,160043.43,85107.67,74935.76,0.17,27207.38,47728.38,296991.88,PayPal,Refunded,Low,1,Neutral,3.4,1,5,
TXN-100681,2022-08-06,2022-08-15,Zenith Ltd,E-Commerce,United Kingdom,Middle East,Mid-Market,Aisha Bello,Social Media,Integration Module,6266.21,27,0.1,152268.9,61050.41,91218.49,0.21,31976.47,59242.02,55136.0,Cash,Refunded,High,2,Dissatisfied,2.4,Yes,4,First purchase
TXN-103469,2020-10-20,2020-11-12,AlphaVentures,Real Estate,United States,Europe,Enterprise,Chen Wei,Partner,Hardware,14636.54,399,0.3,4087985.62,1928318.59,2159667.03,0.13,531438.13,1628228.9,81744.23,PayPal,Refunded,High,20,Dissatisfied,4.2,Yes,13,none
TXN-103679,2023-02-28,2023-03-14,Vertex Partners,Logistics,Singapore,Africa,Startup,Aisha Bello,Referral,Support Contract,11482.83,259,0.07,2765869.26,1792027.96,973841.3,0.24,663808.62,310032.68,402307.78,Credit Card,Pending,High,17,Dissatisfied,3.7,No,25,VIP client
TXN-104800,2021-05-25,2021-05-30,BetaGroup,Technology,Brazil,Europe,SMB,Sofia Andrade,Trade Show,Integration Module,9190.14,211,0.3,1357383.68,847751.54,509632.14,0.18,244329.06,265303.08,151893.83,Bank Transfer,Processing,Low,1,Satisfied,1.4,No,36,Standard order
TXN-100763,2022-09-18,2022-09-29,AlphaVentures,Retail,Canada,Asia Pacific,Startup,James Teller,Partner,Training Package,751.0,268,0.33,134849.56,62943.1,71906.46,0.11,14833.45,57073.01,397758.49,Bank Transfer,Completed,Medium,5,Satisfied,1.8,No,24,Follow-up required
TXN-100465,2025-04-21,2025-06-17,Acme Corp,Consulting,Japan,North America,Mid-Market,Lucas Müller,Direct Sales,Hardware,12121.03,344,0.03,4044545.29,2679237.87,1365307.42,0.16,647127.25,718180.17,379319.6,Check,Pending,Low,20,Very Dissatisfied,1.8,yes,21,Standard order
TXN-101149,2023-08-23,2023-10-02,NovaBiz,Technology,UAE,Africa,Mid-Market,Aisha Bello,Direct Sales,Support Contract,7969.01,48,0.12,336610.98,183259.5,153351.48,0.26,87518.85,65832.63,472153.08,Check,Refunded,Critical,2,Very Satisfied,1.8,No,,Standard order
TXN-102647,2023-12-20,16-Jan-2024,Vertex Partners,Logistics,Philippines,Europe,Government,James Teller,Partner,Custom Development,12379.66,160,0.24,1505366.66,599385.97,905980.69,0.1,150536.67,755444.02,424564.39,Cash,Refunded,High,2,Neutral,2.5,Yes,28,Bulk order
TXN-101417,2022-01-23,2022-02-22,Acme Corp,Logistics,Canada,Africa,SMB,Lucas Müller,Online,Custom Development,10467.72,298,0.27,2277147.81,1032766.9,1244380.91,0.29,660372.86,584008.05,173610.17,Invoice Net 30,Completed,Critical,21,Very Satisfied,4.9,No,24,None
TXN-100584,2025-01-16,2025-03-15,Vertex Partners,Healthcare,Philippines,Europe,Government,Chen Wei,Social Media,Consulting Service,3890.08,166,0.26,477857.43,228393.85,249463.58,0.2,95571.49,153892.09,359576.07,Bank Transfer,Completed,High,15,Dissatisfied,4.0,No,32,Follow-up required
TXN-102229,2023-06-21,2023-07-01,AlphaVentures,Consulting,Philippines,Latin America,Government,Priya Nair,Cold Outreach,Consulting Service,8426.7,121,0.36,652563.65,331770.78,320792.87,0.07,45679.46,275113.41,75296.29,Invoice Net 30,Pending,Critical,3,Very Dissatisfied,4.2,No,14,Follow-up required
TXN-103470,2021-11-25,2022-01-10,Acme Corp,Consulting,United Kingdom,North America,SMB,Kenji Tanaka,Online,Training Package,4500.42,235,0.06,994142.78,555849.15,438293.63,0.24,238594.27,199699.36,441047.35,Credit Card,Cancelled,Critical,19,Satisfied,3.2,No,7,Negotiated price
TXN-102236,2023-04-13,2023-05-12,AlphaVentures,Healthcare,Japan,Africa,Enterprise,Carlos Rivera,Online,Cloud Subscription,6119.3,380,0.07,2162560.62,906240.6,1256320.02,0.12,259507.27,996812.75,156642.17,Bank Transfer,Cancelled,High,45,Dissatisfied,3.7,Yes,23,Renewal
TXN-102439,07/06/2023,2023-07-16,PrimeSolutions,FMCG,Brazil,Middle East,Mid-Market,James Teller,Direct Sales,Hardware,14724.2,19,0.19,226605.44,90984.05,135621.39,0.06,13596.33,122025.06,106303.12,Bank Transfer,Processing,Critical,1,Dissatisfied,1.6,Yes,36,None
TXN-101934,2021-09-09,2021-11-02,GlobalTech,FMCG,Germany,Latin America,Startup,Emma Clarke,Partner,Maintenance Plan,12204.6,64,0.08,718606.85,303118.51,415488.34,0.26,186837.78,228650.56,309746.74,Check,Cancelled,Medium,2,Dissatisfied,3.1,No,21,Standard order
TXN-100393,2022-12-27,2023-02-08,BetaGroup,Finace,Australia,Africa,SMB,Lucas Müller,Trade Show,Cloud Subscription,13305.43,301,0.12,-3524342.3,1741247.65,1783094.65,0.27,951572.42,831522.23,365187.78,Credit Card,Pending,Critical,5,Very Satisfied,3.5,0,7,Urgent delivery
TXN-100555,2021-08-15,2021-08-27,Vertex Partners,Manufacturing,Canada,Asia Pacific,Enterprise,Aisha Bello,Cold Outreach,Integration Module,12980.15,393,0.31,3519827.28,2136750.74,1383076.54,0.15,527974.09,855102.45,207215.51,Cash,Refunded,Medium,48,Dissatisfied,2.7,No,14,Escalated
TXN-101361,2023-11-30,2023-12-28,Acme Corp,Technology,Canada,North America,Enterprise,Kenji Tanaka,Direct Sales,Custom Development,11442.39,108,0.25,926833.59,430223.64,496609.95,0.09,83415.02,413194.93,367027.62,PayPal,Processing,Low,10,Satisfied,2.3,Yes,23,Renewal
TXN-100023,2022-02-23,2022-04-09,Vertex Partners,Technology,UAE,Latin America,startup,Maria Santos,Partner,Cloud Subscription,2334.44,110,0.03,-249084.75,122714.04,126370.71,0.19,47326.1,79044.61,210808.25,Invoice Net 60,Refunded,Critical,6,Very Dissatisfied,2.6,Yes,27,Escalated
TXN-101392,2021-08-06,2021-08-21,Acme Corp,Logistics,United Kingdom,North America,Enterprise,Emma Clarke,Direct Sales,Software License,3412.78,500,0.22,1330984.2,639599.84,691384.36,0.16,212957.47,478426.89,192757.02,Invoice Net 30,Refunded,High,19,Very Satisfied,2.6,No,19,
TXN-103263,2020-11-27,2021-01-09,Acme Corp,FMCG,UAE,Latin America,Government,Aisha Bello,Trade Show,Software License,6246.0,356,0.22,1734389.28,936209.75,798179.53,0.19,329533.96,468645.57,443163.72,Invoice Net 60,Refunded,High,15,,2.5,Yes,17,Standard order
TXN-100848,2024-09-20,2024-10-01,Nexus Co,Retail,Brazil,Middle East,Startup,Maria Santos,Trade Show,Training Package,3423.46,385,0.22,1028065.04,424926.41,603138.63,0.16,164490.41,438648.22,478930.43,Cash,Completed,Critical,6,Very Satisfied,,Yes,11,None
TXN-101427,2020-06-03,2020-07-26,GlobalTech,Technology,Canada,Africa,Startup,Maria Santos,Online,Custom Development,5691.0,383,0.08,2005280.76,978638.93,1026641.83,0.26,521373.0,505268.83,332757.83,Cash,Refunded,Medium,41,Very Satisfied,3.9,No,33,Renewal
TXN-103428,2025-01-25,2025-03-25,Nexus Co,FMCG,Philippines,Africa,Government,Lucas Müller,Cold Outreach,Analytics Suite,9158.26,156,0.12,1257245.93,868698.88,388547.05,0.09,113152.13,275394.92,472051.86,Cash,Refunded,Medium,12,Neutral,4.3,FALSE,27,Follow-up required
TXN-103604,2026-09-26,2022-02-09,BetaGroup,Helthcare,Germany,Africa,Mid-Market,Kenji Tanaka,Direct Sales,Integration Module,13458.87,420,0.08,5200507.37,2588253.92,2612253.45,0.13,676065.96,1936187.49,245735.71,Invoice Net 60,Completed,High,13,Satisfied,3.2,No,10,Bulk order
TXN-104092,2024-12-04,2025-01-07,Nexus Co,Real Estate,Brazil,Asia Pacific,Mid-Market,Sofia Andrade,Referral,Training Package,14428.48,496,0.09,6512438.73,4391825.75,2120612.98,0.23,1497860.91,622752.07,207317.34,Credit Card,Pending,Critical,9,Neutral,1.8,Yes,5,Bulk order
TXN-103984,2023-11-15,2023-12-24,Nexus Co,FMCG,Philippines,Europe,Mid-Market,Kenji Tanaka,Online,Consulting Service,5060.0,390,0.27,1440582.0,604654.95,835927.05,0.08,115246.56,720680.49,94254.63,Bank Transfer,Cancelled,Critical,19,Very Satisfied,4.5,No,18,First purchase
TXN-100746,2020-04-08,2020-04-13,NovaBiz,Real Estate,Germany,Middle East,Startup,Lucas Müller,Trade Show,Consulting Service,5659.11,29,0.24,124726.78,55844.73,68882.05,0.12,14967.21,53914.84,305234.17,Credit Card,Cancelled,Medium,2,Neutral,2.8,No,4,Bulk order
TXN-101881,2022-09-12,2022-10-20,Zenith Ltd,Manufacturing,United Kingdom,Asia Pacific,SMB,Priya Nair,Trade Show,Software License,14630.53,392,0.07,5333706.02,2502649.07,2831056.95,0.17,906730.02,1924326.93,180282.82,,Completed,Critical,29,,5.0,No,5,Escalated
TXN-103820,2020-05-17,2020-07-05,Zenith Ltd,Manufacturing,United Kingdom,Middle East,Government,Maria Santos,,Maintenance Plan,1662.93,223,0.27,270708.37,165141.85,105566.52,0.09,24363.75,81202.77,263470.15,Cash,Refunded,High,3,Very Dissatisfied,2.5,No,23,Bulk order
TXN-101374,2023-08-04,2023-09-23,Acme Corp,Manufacturing,Germany,Asia Pacific,Government,Kenji Tanaka,Online,Custom Development,13897.47,146,0.26,1501482.66,681975.49,819507.17,0.16,240237.23,579269.94,180554.95,Cash,Cancelled,High,18,Dissatisfied,3.8,No,7,First purchase
TXN-101629,2024-04-06,2024-05-11,Vertex Partners,Real Estate,Brazil,Latin America,SMB,Lucas Müller,Online,Cloud Subscription,10880.28,158,0.03,1667511.71,683044.43,984467.28,0.18,300152.11,684315.17,441777.45,Invoice Net 30,Processing,Medium,20,Very Satisfied,2.0,Yes,5,VIP client
TXN-103681,2020-12-05,02-Jan-2021,AlphaVentures,Retail,Canada,Middle East,Startup,Carlos Rivera,Partner,Custom Development,4838.94,142,0.23,529089.7,244379.93,284709.77,0.16,84654.35,200055.42,24888.37,Credit Card,Cancelled,High,15,Satisfied,2.1,Yes,23,VIP client
TXN-104717,2021-12-18,2022-01-21,Orion Inc,Consulting,United Kingdom,Asia Pacific,Startup,Aisha Bello,Direct Sales,Software License,2279.17,77,0.11,156191.52,90702.29,65489.23,0.18,28114.47,37374.76,99406.41,Invoice Net 60,Completed,High,10,Very Dissatisfied,,Yes,33,Standard order
TXN-103673,07/14/2023,2023-08-05,Acme Corp,Logistics,United States,Europe,Enterprise,James Teller,Cold Outreach,Consulting Service,14438.63,377,0.24,4136956.27,2155707.73,1981248.54,0.09,372326.06,1608922.48,212727.4,PayPal,Completed,Low,23,Very Dissatisfied,4.0,Yes,31,Renewal
TXN-104372,2024-05-16,2024-05-17,BetaGroup,Real Estate,Singapore,Europe,Startup,Priya Nair,Trade Show,Integration Module,327.9,393,0.0,128864.7,64411.09,64453.61,0.08,10309.18,54144.43,349323.44,Check,Processing,Medium,35,Very Satisfied,1.8,No,12,None
TXN-104828,2020-08-20,2020-09-22,AlphaVentures,Technolgy,United Kingdom,Europe,enterprise,Lucas Müller,Direct Sales,Software License,4710.83,322,0.2,1213509.81,801861.31,411648.5,0.27,327647.65,84000.85,76775.22,Invoice Net 60,Refunded,High,9,Dissatisfied,2.2,false,32,First purchase
TXN-102118,2025-01-06,11-Jan-2025,NovaBiz,Healthcare,Australia,North America,Government,Sofia Andrade,Direct Sales,Training Package,14419.92,116,0.25,1254533.04,440960.55,813572.49,0.14,175634.63,637937.86,267759.28,Check,Processing,Medium,4,Satisfied,2.5,0,31,
TXN-101499,2023-05-27,2023-05-28,GlobalTech,Logistics,Australia,Middle East,Enterprise,Carlos Rivera,Partner,Consulting Service,10209.67,251,0.34,1691333.93,660032.11,1031301.82,0.27,456660.16,574641.66,21413.15,Invoice Net 30,Pending,Critical,4,,1.9,No,6,Follow-up required
TXN-104110,2022-03-16,2022-05-02,NovaBiz,FMCG,UAE,Asia Pacific,SMB,Chen Wei,Direct Sales,Training Package,4890.26,454,0.19,1798344.21,921508.98,876835.23,0.17,305718.52,571116.71,31120.64,Invoice Net 30,Processing,Critical,12,Dissatisfied,2.9,Yes,21,Follow-up required
TXN-104024,2022-11-02,2022-12-01,BetaGroup,Real Estate,Brazil,Latin America,Government,Maria Santos,Online,Consulting Service,12936.39,250,0.25,2425573.12,1407563.18,1018009.94,0.09,218301.58,799708.36,62248.92,Check,Pending,Low,22,Dissatisfied,4.3,Yes,26,Negotiated price
TXN-102067,2020-03-11,2020-04-12,PrimeSolutions,FMCG,United States,Africa,Startup,Carlos Rivera,Cold Outreach,Cloud Subscription,5153.95,340,0.36,1121499.52,410441.9,711057.62,0.15,168224.93,542832.69,447636.93,Check,Refunded,Medium,3,Very Dissatisfied,4.9,Yes,30,Bulk order
TXN-103711,02/26/2020,2020-04-17,AlphaVentures,Finance,Germany,Latin America,Mid-Market,Priya Nair,Social Media,Analytics Suite,5210.61,54,0.05,267304.29,100431.56,166872.73,0.17,45441.73,121431.0,126434.05,PayPal,Cancelled,Low,5,Very Dissatisfied,2.4,Yes,13,VIP client
TXN-102847,2020-08-24,2020-10-21,Vertex Partners,Finance,Philippines,Asia Pacific,Government,Aisha Bello,Online,Analytics Suite,4467.64,239,0.16,896923.41,572725.61,324197.8,0.12,107630.81,216566.99,289028.35,Check,Pending,High,11,Very Satisfied,1.6,No,28,Standard order
TXN-102943,2024-11-08,2025-01-06,  Zenith Ltd  ,Logistics,Japan,Europe,Government,Aisha Bello,Online,Analytics Suite,2712.86,140,0.24,288648.3,155120.75,133527.55,0.27,77935.04,55592.51,414291.67,PayPal,Completed,Medium,18,Satisfied,3.4,Yes,26,Escalated
TXN-104647,2024-04-14,2024-05-30,GlobalTech,Manufacturing,UAE,North America,Government,Kenji Tanaka,Trade Show,Consulting Service,11917.18,393,0.14,4027768.5,2169550.24,1858218.26,0.07,281943.8,1576274.46,415418.13,PayPal,Pending,Critical,16,Dissatisfied,2.4,No,15,None
TXN-103246,2022-12-30,2023-01-15,NovaBiz,Consulting,Germany,Africa,Government,Chen Wei,Referral,Support Contract,4865.06,430,0.39,1276105.24,730648.48,545456.76,0.24,306265.26,239191.5,264000.39,Invoice Net 60,Completed,Critical,28,Dissatisfied,1.5,Yes,23,Renewal
TXN-101220,2024-09-05,2024-09-10,NovaBiz,Manufacturing,United States,Latin America,Startup,Chen Wei,Cold Outreach,Maintenance Plan,9395.43,278,0.31,1802231.38,751811.82,1050419.56,0.22,396490.9,653928.66,418708.45,PayPal,Refunded,Medium,14,Satisfied,1.5,No,20,None
TXN-103426,2020-07-11,2020-08-12,AlphaVentures,FMCG,Philippines,Middle East,Mid-Market,Carlos Rivera,Partner,Training Package,9963.02,78,0.28,559523.2,388238.2,171285.0,0.05,27976.16,143308.84,72869.16,Invoice Net 60,Completed,Critical,8,Neutral,4.8,Yes,13,Follow-up required
TXN-101728,05/14/2021,2021-07-08,Vertex Partners,Real Estate,Canada,Middle East,Startup,Sofia Andrade,Direct Sales,Integration Module,6058.18,294,0.09,1620805.48,892752.83,728052.65,0.29,470033.59,258019.06,279463.76,Bank Transfer,Pending,High,17,Satisfied,1.8,Yes,7,First purchase
TXN-101362,2024-12-01,2024-12-13,Nexus Co,Healthcare,United States,Africa,SMB,Carlos Rivera,Trade Show,Consulting Service,3159.47,25,0.01,78196.88,38818.46,39378.42,0.3,23459.06,15919.36,71646.99,Invoice Net 60,CANCELLED,Medium,1,Dissatisfied,1.2,No,21,Standard order
TXN-101612,2022-12-25,2023-02-09,Nexus Co,Finance,Japan,Latin America,Startup,Sofia Andrade,Social Media,Cloud Subscription,9066.36,20,0.19,146875.03,84812.59,62062.44,0.22,32312.51,29749.93,172562.44,Bank Transfer,Pending,Medium,2,Neutral,4.2,No,11,Standard order
TXN-104203,2023-04-08,2023-06-02,Nexus Co,Manufacturing,United States,Asia Pacific,Mid-Market,Priya Nair,Referral,Consulting Service,13608.84,97,0.32,897639.09,534927.48,362711.61,0.13,116693.08,246018.53,272053.37,Cash,Cancelled,Medium,6,Very Dissatisfied,3.3,Yes,16,Urgent delivery
TXN-103794,2020-04-26,2020-06-14,AlphaVentures,FMCG,Philippines,Africa,Enterprise,James Teller,Online,Maintenance Plan,4812.53,168,0.15,687229.28,377900.33,309328.95,0.14,96212.1,213116.85,409608.83,,Completed,Medium,0,Neutral,3.4,Yes,15,VIP client
TXN-103213,2021-09-01,2021-09-19,Zenith Ltd,Logistics,Brazil,Europe,Mid-Market,Sofia Andrade,Direct Sales,Analytics Suite,9936.86,157,0.09,1419679.19,506634.34,913044.85,0.2,283935.84,629109.01,370681.02,Cash,Refunded,Medium,4,Very Satisfied,3.3,Yes,2,
TXN-101210,2021-03-30,2021-05-21,Acme Corp,Manufacturing,UAE,North America,SMB,Sofia Andrade,Trade Show,Consulting Service,14755.86,100,0.17,1224736.38,480325.71,744410.67,0.26,318431.46,425979.21,43056.46,Cash,Cancelled,Low,10,Neutral,3.3,No,18,None
TXN-102671,2022-07-25,2022-07-30,Vertex Partners,Consulting,United Kingdom,Middle East,Startup,Maria Santos,Trade Show,Hardware,8001.83,500,0.04,3840878.4,2173933.45,1666944.95,0.11,422496.62,1244448.33,61747.31,PayPal,Pending,Critical,70,Neutral,2.6,Yes,10,First purchase
TXN-103326,2023-12-17,2024-01-19,GlobalTech,Finance,Singapore,North America,SMB,Kenji Tanaka,Referral,Software License,4340.12,149,0.2,517342.3,304363.49,212978.81,0.16,82774.77,130204.04,349573.55,Credit Card,Refunded,High,9,Very Satisfied,,Yes,1,Renewal
TXN-100297,2020-07-15,2020-08-19,NovaBiz,Retail,Germany,Europe,government,Priya Nair,Social Media,Maintenance Plan,8721.7,422,0.06,3459723.96,1376735.93,2082988.03,0.12,415166.88,1667821.15,390509.88,Invoice Net 60,Processing,High,52,Dissatisfied,4.7,No,,Urgent delivery
TXN-102154,2025-01-31,2025-02-13,BetaGroup,Healthcare,Canada,North America,Mid-Market,Priya Nair,Partner,Analytics Suite,14205.08,31,0.09,400725.31,209778.0,190947.31,0.19,76137.81,114809.5,223841.42,PayPal,Pending,Medium,2,Dissatisfied,2.9,Yes,26,None
TXN-100457,2022-11-25,2022-12-06,NovaBiz,Logistics,Germany,North America,Enterprise,Maria Santos,Referral,Software License,6589.15,51,0.28,241953.59,95381.88,146571.71,0.08,19356.29,127215.42,290582.2,Invoice Net 30,Processing,Medium,6,Very Satisfied,4.3,Yes,17,Follow-up required
TXN-101261,2020-09-15,19-Oct-2020,Acme Corp,FMCG,Brazil,Asia Pacific,Startup,Maria Santos,Direct Sales,Integration Module,4247.43,278,0.32,802934.17,341438.34,461495.83,0.24,192704.2,268791.63,302100.18,Credit Card,Cancelled,High,30,Satisfied,2.6,Yes,25,Negotiated price
TXN-101844,2021-04-15,2021-05-11,PrimeSolutions,Retail,Japan,Latin America,Government,Maria Santos,Partner,Maintenance Plan,9754.57,460,0.18,3679423.8,1933495.22,1745928.58,0.24,883061.71,862866.87,20715.55,PayPal,Completed,Medium,9,Very Dissatisfied,1.5,Yes,26,Standard order
TXN-101954,2021-11-24,2021-12-03,AlphaVentures,Retail,United Kingdom,Latin America,Enterprise,Chen Wei,Cold Outreach,Training Package,13768.32,345,0.27,3467551.39,1645860.25,1821691.14,0.26,901563.36,920127.78,486711.76,Invoice Net 30,Processing,Low,18,,,No,32,First purchase
TXN-102699,2022-06-26,2022-08-25,BetaGroup,Logistics,Singapore,Middle East,Mid-Market,Maria Santos,Social Media,Consulting Service,2977.65,110,0.03,317715.26,201754.57,115960.69,0.26,82605.97,33354.72,436513.0,Bank Transfer,Completed,High,16,Neutral,4.0,Yes,25,None
TXN-100429,2024-11-23,2025-01-13,Nexus Co,Manufacturing,Philippines,Latin America,Government,Carlos Rivera,Partner,Software License,820.22,128,0.4,62992.9,26676.88,36316.02,0.08,5039.43,31276.59,326079.52,Invoice Net 30,Completed,Low,19,Satisfied,2.3,No,24,na
TXN-103333,2022-12-02,2022-12-12,PrimeSolutions,Real Estate,Philippines,Asia Pacific,Enterprise,Maria Santos,Cold Outreach,Support Contract,5172.69,438,0.1,$2039074.4,1268064.15,771010.25,0.23,468987.11,302023.14,344155.6,Invoice Net 30,Processing,Medium,15,Very Satisfied,1.9,No,17,Urgent delivery
